ハラバリー,れいせい,2.5
ハラバリー,おくびょう,0.1
ハラバリー,しんちょう,0.1
ハラバリー,おっとり,0.1
ハラバリー,わんぱく,0.0
フシギバナ,おだやか,39.5
フシギバナ,ずぶとい,33.2
フシギバナ,ひかえめ,23.9
フシギバナ,おくびょう,1.4
フシギバナ,れいせい,0.4
フシギバナ,なまいき,0.4
フシギバナ,しんちょう,0.3
フシギバナ,のんき,0.2
フシギバナ,わんぱく,0.2
フシギバナ,いじっぱり,0.2
ゲッコウガ,ひかえめ,52.0
ゲッコウガ,おくびょう,37.6
ゲッコウガ,むじゃき,4.6
ゲッコウガ,うっかりや,1.2
ゲッコウガ,ようき,1.1
ゲッコウガ,せっかち,1.1
ゲッコウガ,おっとり,0.8
ゲッコウガ,いじっぱり,0.8
ゲッコウガ,やんちゃ,0.3
ゲッコウガ,さみしがり,0.1
ブラッキー,ずぶとい,56.4
ブラッキー,わんぱく,20.7
ブラッキー,おだやか,9.3
ブラッキー,しんちょう,6.3
ブラッキー,のんき,5.1
ブラッキー,なまいき,1.1
ブラッキー,いじっぱり,0.3
ブラッキー,ようき,0.2
ブラッキー,おくびょう,0.2
ブラッキー,ゆうかん,0.1
オオニューラ,いじっぱり,64.9
オオニューラ,ようき,29.8
オオニューラ,わんぱく,2.0
オオニューラ,やんちゃ,0.9
オオニューラ,さみしがり,0.7
オオニューラ,むじゃき,0.6
オオニューラ,せっかち,0.4
オオニューラ,しんちょう,0.2
オオニューラ,ゆうかん,0.1
オオニューラ,おくびょう,0.1
ガルーラ,いじっぱり,88.8
ガルーラ,ようき,7.1
ガルーラ,わんぱく,2.1
ガルーラ,ゆうかん,0.5
ガルーラ,やんちゃ,0.3
ガルーラ,ひかえめ,0.2
ガルーラ,さみしがり,0.2
ガルーラ,しんちょう,0.2
ガルーラ,れいせい,0.1
ガルーラ,むじゃき,0.1
メガニウム,ひかえめ,88.5
メガニウム,おくびょう,4.7
メガニウム,ずぶとい,4.2
メガニウム,おだやか,1.8
メガニウム,れいせい,0.5
メガニウム,おっとり,0.1
メガニウム,いじっぱり,0.0
メガニウム,なまいき,0.0
メガニウム,まじめ,0.0
メガニウム,のんき,0.0
ピクシー,ずぶとい,63.8
ピクシー,おだやか,21.6
ピクシー,ひかえめ,11.6
ピクシー,おくびょう,1.7
ピクシー,のんき,0.3
ピクシー,れいせい,0.3
ピクシー,なまいき,0.3
ピクシー,おっとり,0.1
ピクシー,しんちょう,0.1
ピクシー,ようき,0.0
クエスパトラ,ずぶとい,42.7
クエスパトラ,おくびょう,30.4
クエスパトラ,ひかえめ,22.1
クエスパトラ,おだやか,3.6
クエスパトラ,おっとり,0.2
クエスパトラ,わんぱく,0.2
クエスパトラ,のんき,0.1
クエスパトラ,せっかち,0.1
クエスパトラ,ようき,0.1
クエスパトラ,れいせい,0.1
バンギラス,いじっぱり,52.2
バンギラス,しんちょう,23.6
バンギラス,ようき,14.2
バンギラス,わんぱく,4.8
バンギラス,ひかえめ,1.4
バンギラス,ゆうかん,1.2
バンギラス,なまいき,0.8
バンギラス,おだやか,0.3
バンギラス,のんき,0.3
バンギラス,れいせい,0.2
ニンフィア,ひかえめ,54.1
ニンフィア,ずぶとい,23.5
ニンフィア,れいせい,7.7
ニンフィア,おだやか,6.3
ニンフィア,のんき,5.8
ニンフィア,おくびょう,1.6
ニンフィア,なまいき,0.3
ニンフィア,おっとり,0.3
ニンフィア,わんぱく,0.1
ニンフィア,せっかち,0.1
オニシズクモ,いじっぱり,52.3
オニシズクモ,わんぱく,17.2
オニシズクモ,ひかえめ,9.1
オニシズクモ,しんちょう,8.1
オニシズクモ,ゆうかん,3.0
オニシズクモ,のんき,2.5
オニシズクモ,ずぶとい,2.2
オニシズクモ,なまいき,1.9
オニシズクモ,おだやか,1.1
オニシズクモ,ようき,0.8
ペリッパー,ひかえめ,32.1
ペリッパー,のんき,32.1
ペリッパー,ずぶとい,12.3
ペリッパー,おくびょう,8.6
ペリッパー,れいせい,8.0
ペリッパー,おだやか,2.4
ペリッパー,なまいき,2.1
ペリッパー,おっとり,1.6
ペリッパー,うっかりや,0.3
ペリッパー,わんぱく,0.3
ゾロアーク(ヒスイ),おくびょう,74.1
ゾロアーク(ヒスイ),ひかえめ,14.4
ゾロアーク(ヒスイ),むじゃき,5.8
ゾロアーク(ヒスイ),せっかち,2.2
ゾロアーク(ヒスイ),おっとり,1.0
ゾロアーク(ヒスイ),ようき,0.8
ゾロアーク(ヒスイ),うっかりや,0.6
ゾロアーク(ヒスイ),ずぶとい,0.3
ゾロアーク(ヒスイ),いじっぱり,0.2
ゾロアーク(ヒスイ),れいせい,0.1
エルフーン,ひかえめ,39.1
エルフーン,おくびょう,31.1
エルフーン,ずぶとい,21.8
エルフーン,おだやか,6.5
エルフーン,わんぱく,0.3
エルフーン,おっとり,0.2
エルフーン,のんき,0.2
エルフーン,せっかち,0.2
エルフーン,れいせい,0.2
エルフーン,ようき,0.2
